canonical_id,source,original_ids,title,authors,year,doi,abstract,pdf_url,url,language,stage_title_abstract_decision,stage_title_abstract_label,stage_title_abstract_evidence,stage_full_text_decision,stage_full_text_label,stage_full_text_evidence,task_category,confidence,bias_score,bias_flags
crossref:10.20944/preprints202206.0053.v1,CrossRef,crossref:10.20944/preprints202206.0053.v1,Classification of EEG Motor Imagery Using Deep Learning for Brain-Computer Interface Systems,Alessandro Gallo;Manh Duong Phung,2022.0,10.20944/preprints202206.0053.v1,"<jats:p>Objective A trained T1 class Convolutional Neural Network (CNN) model will be used to examine its ability to successfully identify motor imagery when fed pre-processed electroencephalography (EEG) data. In theory, and if the model has been trained accurately, it should be able to identify a class and label it accordingly. The CNN model will then be restored and used to try and identify the same class of motor imagery data using much smaller sampled data in an attempt to simulate live data. Approach PyCharm, a Python platform, will be used to house and process the CNN. The raw data used for the training of the CNN will be sourced from the PhysioBank website. The EEG signal data will then be pre-processed using Brainstorm software that is a toolbox used in conjunction with MATLAB. The sample data used to validate and test the trained CNN, will be also be extracted from Brainstorm but in a much smaller size compared to the training data which is comprised of thousands of images. The sample size would be comparable to a person wearing a Brain Computer Interface (BCI), offering approximately 20 seconds of motor imagery signal data. Results The raw EEG data was successfully extracted and pre-processed. The deep learning model was trained using the extracted image data along with their corresponding labels. After training, it was able to accurately identify the T1 class label at 100 percent. The python coding was then modified to restore the trained model and feed it test sample data in which it was found to recognise 6 out of 10 lines of T1 signal image data. The result suggested that the initial training of the model required a different, more varying approach, so that it would be able to detect varying sample signal image data. The outcome of which could mean that the model could be used in applications for multiple patients wearing the same BCI hardware to control a device or interface.</jats:p>",https://doi.org/10.20944/preprints202206.0053.v1,https://doi.org/10.20944/preprints202206.0053.v1,English,Include,,Classification of EEG Motor Imagery Using Deep Learning for Brain-Computer Interface Systems,Exclude,No performance metrics reported,No metrics found in full text,,0.9,0.6,
crossref:10.1109/bci51272.2021.9385368,CrossRef,crossref:10.1109/bci51272.2021.9385368,Deep Neural Network for Drowsiness Detection from EEG,Chungho Lee;Rock-Hyun Choi;Jinung An,2021.0,10.1109/bci51272.2021.9385368,,,https://doi.org/10.1109/bci51272.2021.9385368,English,Exclude,Not classification-focused,Deep Neural Network for Drowsiness Detection from EEG,,,,,0.85,0.6,
crossref:10.1109/bci60775.2024.10480446,CrossRef,crossref:10.1109/bci60775.2024.10480446,Convolutional Transformer-in-Transformer for Automatic Sleep Stage Classification,Moogyeong Kim;Wonzoo Chung,2024.0,10.1109/bci60775.2024.10480446,,,https://doi.org/10.1109/bci60775.2024.10480446,English,Exclude,Not EEG-BCI focused,Convolutional Transformer-in-Transformer for Automatic Sleep Stage Classification,,,,,0.9,0.6,
crossref:10.48084/etasr.9945,CrossRef,crossref:10.48084/etasr.9945,Development of a CNN-LSTM Deep Learning Model for Motor Imagery EEG Classification for BCI Applications,Aaqib Raza;Mohd Zuki Yusoff,2025.0,10.48084/etasr.9945,"<jats:p>Brain-Computer Interface (BCI) systems offer a groundbreaking method for the human brain to directly communicate with external devices, serving applications, such as assistive technology, smart environments, and healthcare. Motor Imagery (MI) brain signals derived from Electroencephalography (EEG) are commonly utilized in various BCI fields. However, accurately classifying MI-based EEG signals remains a significant challenge, with traditional classification techniques struggling to effectively capture both spatial and temporal features, resulting in suboptimal performance. Therefore, this study introduces a novel hybrid Convolutional Neural Network-Long Short-Term Memory (CNN-LSTM) framework designed for EEG-MI task classification. The model combines adaptive learning with optimal training to significantly improve classification performance using the Berlin BCI Dataset 1 from BCI Competition IV. The proposed CNN-LSTM model achieves a classification accuracy of 98.38% on subject independence evaluation. This research compares subject-dependent and subject-independent evaluation with traditional Machine Learning (ML) methods, such as Support Vector Machines (SVM), Random Forest (RF), and Linear Discriminant Analysis (LDA), as well as Deep Learning (DL) models, such as EEGNet, K-nearest Neighbor (KNN), and Convolutional Neural Network (CNN). Extensive evaluations and cross-validation prove the model's superior performance, thus this work sets a benchmark for real-time MI-EEG classification, offering a scalable solution for practical BCI applications.</jats:p>",,https://doi.org/10.48084/etasr.9945,English,Exclude,Outside date range,Development of a CNN-LSTM Deep Learning Model for Motor Imagery EEG Classification for BCI Applications,,,,,0.95,0.25,cv_reported
crossref:10.1109/iww-bci.2018.8311522,CrossRef,crossref:10.1109/iww-bci.2018.8311522,EEG-based classification of learning strategies : Model-based and model-free reinforcement learning,Dongjae Kim;Charles Weston;Sang Wan Lee,2018.0,10.1109/iww-bci.2018.8311522,,,https://doi.org/10.1109/iww-bci.2018.8311522,English,Exclude,Outside date range,EEG-based classification of learning strategies : Model-based and model-free reinforcement learning,,,,,0.95,0.6,
crossref:10.1109/iww-bci.2018.8311517,CrossRef,crossref:10.1109/iww-bci.2018.8311517,Classification of motor imagery for Ear-EEG based brain-computer interface,Yong-Jeong Kim;No-Sang Kwak;Seong-Whan Lee,2018.0,10.1109/iww-bci.2018.8311517,,,https://doi.org/10.1109/iww-bci.2018.8311517,English,Exclude,Outside date range,Classification of motor imagery for Ear-EEG based brain-computer interface,,,,,0.95,0.6,
crossref:10.1109/bci57258.2023.10078663,CrossRef,crossref:10.1109/bci57258.2023.10078663,EEG-Based Multioutput Classification of Sleep Stage and Apnea Using Deep Learning,Donghyeok Jo;Choel-Hui Lee;Hakseung Kim;Hayom Kim;Jung Bin Kim;Dong-Joo Kim,2023.0,10.1109/bci57258.2023.10078663,,https://doi.org/10.1109/bci57258.2023.10078663,https://doi.org/10.1109/bci57258.2023.10078663,English,Include,,EEG-Based Multioutput Classification of Sleep Stage and Apnea Using Deep Learning,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/bci65088.2025.10931312,CrossRef,crossref:10.1109/bci65088.2025.10931312,A Transfer-Learning Approach for Cross-Subjects EEG Data Classification,Sébastien Angelliaume;Claire Deshayes;Bruno Berberian;Stefania C. Ficarella,2025.0,10.1109/bci65088.2025.10931312,,,https://doi.org/10.1109/bci65088.2025.10931312,English,Exclude,Outside date range,A Transfer-Learning Approach for Cross-Subjects EEG Data Classification,,,,,0.95,0.6,
crossref:10.1109/bci57258.2023.10078607,CrossRef,crossref:10.1109/bci57258.2023.10078607,Automatic Sleep Stage Classification Method based on Transformer-in-Transformer,Moogyeong Kim;Koohong Jung;Wonzoo Chung,2023.0,10.1109/bci57258.2023.10078607,,,https://doi.org/10.1109/bci57258.2023.10078607,English,Exclude,Not EEG-BCI focused,Automatic Sleep Stage Classification Method based on Transformer-in-Transformer,,,,,0.9,0.6,
crossref:10.1109/bci48061.2020.9061668,CrossRef,crossref:10.1109/bci48061.2020.9061668,VIGNet: A Deep Convolutional Neural Network for EEG-based Driver Vigilance Estimation,Wonjun Ko;Kwanseok Oh;Eunjin Jeon;Heung-Il Suk,2020.0,10.1109/bci48061.2020.9061668,,,https://doi.org/10.1109/bci48061.2020.9061668,English,Exclude,Not classification-focused,VIGNet: A Deep Convolutional Neural Network for EEG-based Driver Vigilance Estimation,,,,,0.85,0.6,
crossref:10.32604/iasc.2023.035905,CrossRef,crossref:10.32604/iasc.2023.035905,CNN-LSTM: A Novel Hybrid Deep Neural Network Model for Brain Tumor Classification,R. D. Dhaniya;K. M. Umamaheswari,2023.0,10.32604/iasc.2023.035905,,,https://doi.org/10.32604/iasc.2023.035905,English,Exclude,Not EEG-BCI focused,CNN-LSTM: A Novel Hybrid Deep Neural Network Model for Brain Tumor Classification,,,,,0.9,0.6,
crossref:10.1109/smc.2019.8914623,CrossRef,crossref:10.1109/smc.2019.8914623,Can a Single Model Deep Learning Approach Enhance Classification Accuracy of an EEG-based Brain-Computer Interface?,Sujit Roy;Karl McCreadie;Girijesh Prasad,2019.0,10.1109/smc.2019.8914623,,https://doi.org/10.1109/smc.2019.8914623,https://doi.org/10.1109/smc.2019.8914623,English,Include,,Can a Single Model Deep Learning Approach Enhance Classification Accuracy of an EEG-based Brain-Computer Interface?,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.7717/peerj-cs.2669/fig-13,CrossRef,crossref:10.7717/peerj-cs.2669/fig-13,"Figure 13: Results of 3-class sentiment classification using deep learning (CNN-custom, BiLSTM-custom, LSTM-CNN-custom).",,,10.7717/peerj-cs.2669/fig-13,,,https://doi.org/10.7717/peerj-cs.2669/fig-13,English,Exclude,Not EEG-BCI focused,"Figure 13: Results of 3-class sentiment classification using deep learning (CNN-custom, BiLSTM-custom, LSTM-CNN-custom).",,,,,0.9,0.6,
crossref:10.1109/bci48061.2020.9061612,CrossRef,crossref:10.1109/bci48061.2020.9061612,Deep Learning Solutions for Motor Imagery Classification: A Comparison Study,Na Lu;Tao Yin;Xue Jing,2020.0,10.1109/bci48061.2020.9061612,,,https://doi.org/10.1109/bci48061.2020.9061612,English,Exclude,Not EEG-BCI focused,Deep Learning Solutions for Motor Imagery Classification: A Comparison Study,,,,,0.9,0.6,
crossref:10.7717/peerj-cs.2669/fig-10,CrossRef,crossref:10.7717/peerj-cs.2669/fig-10,"Figure 10: Results of 3-class sentiment classification using deep learning (CNN-rand, BiLSTM-rand, LSTM-CNN-rand).",,,10.7717/peerj-cs.2669/fig-10,,,https://doi.org/10.7717/peerj-cs.2669/fig-10,English,Exclude,Not EEG-BCI focused,"Figure 10: Results of 3-class sentiment classification using deep learning (CNN-rand, BiLSTM-rand, LSTM-CNN-rand).",,,,,0.9,0.6,
crossref:10.53555/kuey.v29i4.10364,CrossRef,crossref:10.53555/kuey.v29i4.10364,"Comparative Analysis of CNN, RNN, LSTM, and Transformer Architectures in Deep Learning",Prof. Dishita Mashru,2023.0,10.53555/kuey.v29i4.10364,,,https://doi.org/10.53555/kuey.v29i4.10364,English,Exclude,Not EEG-BCI focused,"Comparative Analysis of CNN, RNN, LSTM, and Transformer Architectures in Deep Learning",,,,,0.9,0.6,
crossref:10.1109/bci51272.2021.9385305,CrossRef,crossref:10.1109/bci51272.2021.9385305,Rank-based Discriminative Feature Learning for Motor Imagery Classification in EEG signals,Byung Hyung Kim;Jin Woo Choi;Sungho Jo,2021.0,10.1109/bci51272.2021.9385305,,https://doi.org/10.1109/bci51272.2021.9385305,https://doi.org/10.1109/bci51272.2021.9385305,English,Include,,Rank-based Discriminative Feature Learning for Motor Imagery Classification in EEG signals,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/bci51272.2021.9385367,CrossRef,crossref:10.1109/bci51272.2021.9385367,Classification of Visual Perception and Imagery based EEG Signals Using Convolutional Neural Networks,Ji-Seon Bang;Ji-Hoon Jeong;Dong-Ok Won,2021.0,10.1109/bci51272.2021.9385367,,https://doi.org/10.1109/bci51272.2021.9385367,https://doi.org/10.1109/bci51272.2021.9385367,English,Include,,Classification of Visual Perception and Imagery based EEG Signals Using Convolutional Neural Networks,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.7717/peerj-cs.2669/fig-11,CrossRef,crossref:10.7717/peerj-cs.2669/fig-11,"Figure 11: Results of 3-class sentiment classification using deep learning (CNN-static, BiLSTM-static, LSTM-CNN-static).",,,10.7717/peerj-cs.2669/fig-11,,,https://doi.org/10.7717/peerj-cs.2669/fig-11,English,Exclude,Not EEG-BCI focused,"Figure 11: Results of 3-class sentiment classification using deep learning (CNN-static, BiLSTM-static, LSTM-CNN-static).",,,,,0.9,0.6,
crossref:10.1109/bci51272.2021.9385293,CrossRef,crossref:10.1109/bci51272.2021.9385293,Attention-based spatio-temporal-spectral feature learning for subject-specific EEG classification,Dong-Hee Ko;Dong-Hee Shin;Tae-Eui Kam,2021.0,10.1109/bci51272.2021.9385293,,https://doi.org/10.1109/bci51272.2021.9385293,https://doi.org/10.1109/bci51272.2021.9385293,English,Include,,Attention-based spatio-temporal-spectral feature learning for subject-specific EEG classification,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/ccip.2015.7100718,CrossRef,crossref:10.1109/ccip.2015.7100718,Planning and relaxed state EEG signal classification using complex valued neural classifier for brain computer interface,M. Sivachitra;S. Vijayachitra,2015.0,10.1109/ccip.2015.7100718,,,https://doi.org/10.1109/ccip.2015.7100718,English,Exclude,Outside date range,Planning and relaxed state EEG signal classification using complex valued neural classifier for brain computer interface,,,,,0.95,0.6,
crossref:10.1109/iww-bci.2013.6506621,CrossRef,crossref:10.1109/iww-bci.2013.6506621,BMFLC with neural network and DE for better event classification,Yubo Wang;Venkateswarlu Gonuguntla;Ghufran Shafiq;Kalyana C. Veluvolu,2013.0,10.1109/iww-bci.2013.6506621,,,https://doi.org/10.1109/iww-bci.2013.6506621,English,Exclude,Outside date range,BMFLC with neural network and DE for better event classification,,,,,0.95,0.6,
crossref:10.1088/1741-2552/aaaf82,CrossRef,crossref:10.1088/1741-2552/aaaf82,Deep learning for hybrid EEG-fNIRS brain–computer interface: application to motor imagery classification,Antonio Maria Chiarelli;Pierpaolo Croce;Arcangelo Merla;Filippo Zappasodi,2018.0,10.1088/1741-2552/aaaf82,,,https://doi.org/10.1088/1741-2552/aaaf82,English,Exclude,Outside date range,Deep learning for hybrid EEG-fNIRS brain–computer interface: application to motor imagery classification,,,,,0.95,0.6,
crossref:10.23883/ijrter.2017.3058.xdmno,CrossRef,crossref:10.23883/ijrter.2017.3058.xdmno,CLASSIFICATION OF MENTAL TASK FOR BRAIN COMPUTER INTERFACE USING ARTIFICIAL NEURAL NETWORK,,2017.0,10.23883/ijrter.2017.3058.xdmno,,,https://doi.org/10.23883/ijrter.2017.3058.xdmno,English,Exclude,Outside date range,CLASSIFICATION OF MENTAL TASK FOR BRAIN COMPUTER INTERFACE USING ARTIFICIAL NEURAL NETWORK,,,,,0.95,0.6,
crossref:10.1143/jpsj.75.104801,CrossRef,crossref:10.1143/jpsj.75.104801,EEG-Based Classification of New Imagery Tasks Using Three-Layer Feedforward Neural Network Classifier for Brain–Computer Interface,Montri Phothisonothai;Masahiro Nakagawa,2006.0,10.1143/jpsj.75.104801,,,https://doi.org/10.1143/jpsj.75.104801,English,Exclude,Outside date range,EEG-Based Classification of New Imagery Tasks Using Three-Layer Feedforward Neural Network Classifier for Brain–Computer Interface,,,,,0.95,0.6,
crossref:10.5220/0013510700004619,CrossRef,crossref:10.5220/0013510700004619,Enhancing Facial Emotion Recognition Through Deep Learning: Integrating CNN and RNN-LSTM Models,Jianhui Xu,2024.0,10.5220/0013510700004619,,,https://doi.org/10.5220/0013510700004619,English,Exclude,Not EEG-BCI focused,Enhancing Facial Emotion Recognition Through Deep Learning: Integrating CNN and RNN-LSTM Models,,,,,0.9,0.6,
crossref:10.5772/55801,CrossRef,crossref:10.5772/55801,Optimal Fractal Feature and Neural Network: EEG Based BCI Applications,Montri Phothisonothai;Katsumi Watanabe,2013.0,10.5772/55801,,,https://doi.org/10.5772/55801,English,Exclude,Outside date range,Optimal Fractal Feature and Neural Network: EEG Based BCI Applications,,,,,0.95,0.6,
crossref:10.1109/bci53720.2022.9734935,CrossRef,crossref:10.1109/bci53720.2022.9734935,Evolutionary Reinforcement Learning for Automated Hyperparameter Optimization in EEG Classification,Dong-Hee Shin;Dong-Hee Ko;Ji-Wung Han;Tae-Eui Kam,2022.0,10.1109/bci53720.2022.9734935,,https://doi.org/10.1109/bci53720.2022.9734935,https://doi.org/10.1109/bci53720.2022.9734935,English,Include,,Evolutionary Reinforcement Learning for Automated Hyperparameter Optimization in EEG Classification,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.46281/bjmsr.v9i3.2230,CrossRef,crossref:10.46281/bjmsr.v9i3.2230,MUSIC EMOTION RECOGNITION AND CLASSIFICATION USING HYBRID CNN-LSTM DEEP NEURAL NETWORK,,2024.0,10.46281/bjmsr.v9i3.2230,"<jats:p>In music information retrieval (MIR), emotion-based classification is a complex and challenging task for researchers. In modern-day information technology, understanding music emotions through human-computer interaction plays a vital role in capturing the attention of both researchers and the music industry. This paper presents a learning algorithm by adopting the decision tree, random forest, k-nearest neighbors, multi-layer perceptron (MLP), long short-term memory (LSTM) neural network, convolutional neural networks (CNNs), and CNN-LSTM hybrid deep learning approaches with relevant feature extraction techniques. Many researchers have performed emotion recognition in music for different languages such as English, Chinese, Spanish, Turkish, Hindi, etc. However, languages like Assamese have drawn very little attention in the research of music emotion recognition (MER). This work aims to perform a novel approach to emotion recognition in Assamese songs. In this study, a newly created Assamese dataset of 200 song samples is used with four different emotions and another dataset used is the RAVDESS emotional song database which consists of 1012 song samples with six different music emotions. Relevant features such as mel-frequency cepstrum coefficients (MFCC), mel spectrogram, and chroma features are extracted from the song samples to investigate the performance of the proposed method. A comparative analysis using different classifiers is carried out and the findings of this study suggest that the CNN-LSTM model has shown better accuracy with both datasets. The accuracy is 85.00% with the Assamese dataset, and with the RAVDESS dataset, the accuracy is 89.66% compared to the other classifiers used in this work.</jats:p>",,https://doi.org/10.46281/bjmsr.v9i3.2230,English,Exclude,Not EEG-BCI focused,MUSIC EMOTION RECOGNITION AND CLASSIFICATION USING HYBRID CNN-LSTM DEEP NEURAL NETWORK,,,,,0.9,0.6,
crossref:10.1109/bci51272.2021.9385338,CrossRef,crossref:10.1109/bci51272.2021.9385338,Application of High-accuracy Silent Speech BCI to Biometrics using Deep Learning,Nobuaki Kobayashi;Takahiro Morooka,2021.0,10.1109/bci51272.2021.9385338,,https://doi.org/10.1109/bci51272.2021.9385338,https://doi.org/10.1109/bci51272.2021.9385338,English,Include,,Application of High-accuracy Silent Speech BCI to Biometrics using Deep Learning,Exclude,Insufficient methodological detail,No DL architecture mention in full text or abstract,,0.8,0.6,
crossref:10.1109/icnc.2010.5582892,CrossRef,crossref:10.1109/icnc.2010.5582892,EEG classification based on Small-World neural network for Brain-Computer Interface,Ting Li;Jun Hong;Jinhua Zhang,2010.0,10.1109/icnc.2010.5582892,,,https://doi.org/10.1109/icnc.2010.5582892,English,Exclude,Outside date range,EEG classification based on Small-World neural network for Brain-Computer Interface,,,,,0.95,0.6,
crossref:10.1016/j.matpr.2020.09.619,CrossRef,crossref:10.1016/j.matpr.2020.09.619,WITHDRAWN: Classification of mammography image with CNN-RNN based semantic features and extra tree classifier approach using LSTM,Kiranpreet Kaur;S.K. Mittal,2020.0,10.1016/j.matpr.2020.09.619,,,https://doi.org/10.1016/j.matpr.2020.09.619,English,Exclude,Not EEG-BCI focused,WITHDRAWN: Classification of mammography image with CNN-RNN based semantic features and extra tree classifier approach using LSTM,,,,,0.9,0.6,
crossref:10.1007/s00221-013-3699-6,CrossRef,crossref:10.1007/s00221-013-3699-6,Electroencephalography (EEG)-based neurofeedback training for brain–computer interface (BCI),Kyuwan Choi,2013.0,10.1007/s00221-013-3699-6,,,https://doi.org/10.1007/s00221-013-3699-6,English,Exclude,Outside date range,Electroencephalography (EEG)-based neurofeedback training for brain–computer interface (BCI),,,,,0.95,0.6,
crossref:10.3390/brainsci9120347,CrossRef,crossref:10.3390/brainsci9120347,Peak Detection with Online Electroencephalography (EEG) Artifact Removal for Brain–Computer Interface (BCI) Purposes,Mihaly Benda;Ivan Volosyak,2019.0,10.3390/brainsci9120347,"<jats:p>Brain–computer interfaces (BCIs) measure brain activity and translate it to control computer programs or external devices. However, the activity generated by the BCI makes measurements for objective fatigue evaluation very difficult, and the situation is further complicated due to different movement artefacts. The BCI performance could be increased if an online method existed to measure the fatigue objectively and accurately. While BCI-users are moving, a novel automatic online artefact removal technique is used to filter out these movement artefacts. The effects of this filter on BCI performance and mainly on peak frequency detection during BCI use were investigated in this paper. A successful peak alpha frequency measurement can lead to more accurately determining objective user fatigue. Fifteen subjects performed various imaginary and actual movements in separate tasks, while fourteen electroencephalography (EEG) electrodes were used. Afterwards, a steady-state visual evoked potential (SSVEP)-based BCI speller was used, and the users were instructed to perform various movements. An offline curve fitting method was used for alpha peak detection to assess the effect of the artefact filtering. Peak detection was improved by the filter, by finding 10.91% and 9.68% more alpha peaks during simple EEG recordings and BCI use, respectively. As expected, BCI performance deteriorated from movements, and also from artefact removal. Average information transfer rates (ITRs) were 20.27 bit/min, 16.96 bit/min, and 14.14 bit/min for the (1) movement-free, (2) the moving and unfiltered, and (3) the moving and filtered scenarios, respectively.</jats:p>",,https://doi.org/10.3390/brainsci9120347,English,Exclude,Not classification-focused,Peak Detection with Online Electroencephalography (EEG) Artifact Removal for Brain–Computer Interface (BCI) Purposes,,,,,0.85,0.6,
