name,author,source
Bi-hemisphere Interaction Convolutional Neural Network for Motor Imagery Classification.,Xiaohao Lin;Emadeldeen Eldele;Zhenghua Chen;Min Wu;Han Wei Ng;Cuntai Guan,PubMed
Exploring Novel Practical Approach to Post-Stroke Upper-Limb Neurorehabilitation Based on Complex Motor Imagery Tasks.,Cristian D Guerrero-Mendez;H Rivera-Flor;Ana C Villa-Parra;Teodiano F Bastos-Filho,PubMed
Evaluation of EEG and MEG responses during Fine Motor Imagery from the same limb.,Rui Jiang;Shuang Qiu;Yu Wang;Chuncheng Zhang;Huiguang He,PubMed
Role of Scalp EEG Brain Connectivity in Motor Imagery Decoding for BCI Applications.,Fatemeh Delavari;Sabato Santaniello,PubMed
EEG Acquisition and Motor Imagery Classification for Robotic Control.,Hamza Amrani;Daniela Micucci;Marco Nalin;Paolo Napoletano;Ilario Rizzi,PubMed
Utilizing Motor-Imagery Brain-Computer Interfaces for the Assessment of Developmental Coordination Disorder in Children.,Kuan-Yi Lee;Kong-Yi Chang;Hao-Che Hsu;Yu-Ting Tseng;Chun-Shu Wei;Shih-Syun Lin;Chun-Hsiang Chuang,PubMed
Bi-Stream Adaptation Network for Motor Imagery Decoding.,Zikai Wang;Ang Li;Zhenyu Wang;Ting Zhou;Tianheng Xu;Honglin Hu,PubMed
Cross-subject EEG-based Motor Imagery Recognition for Patient's Rehabilitation.,Yalan Ye;Xinxin Mu;Tongjie Pan;Yuxiang Li;Lin Wei;Xiaoli Fan;Lan Wei,PubMed
Electrical stimulation-based paradigm to enhance lower limb motor imagery: initial validation in stroke patients.,Zhuolan Gui;Yuan Liu;Shiyin Qiu;Yujian Zhang;Kailun Dong;Dong Ming,PubMed
CEBRA Method: Decoding Brain Activity for Advanced Brain-Computer Interface Technology.,Jingcheng Yang;Frank Kulwa;Xuanwei Liu;Yiqing Lu;Yufa Fu;Guanglin Li;Yaping Huai;Xin Zhang;Yongcheng Li,PubMed
FACT-Net: a Frequency Adapter CNN with Temporal-periodicity Inception for Fast and Accurate MI-EEG Decoding.,Sixiong Ke;Banghua Yang;Yiyang Qin;Fenqi Rong;Jiayang Zhang;Yanyan Zheng,PubMed
A Wearable Brain-Computer Interface with Fewer EEG Channels for Online Motor Imagery Detection.,Zuguang Rao;Junbiao Zhu;Zilin Lu;Rui Zhang;Kendi Li;Zijing Guan;Yuanqing Li,PubMed
[Three-dimensional convolutional neural network based on spatial-spectral feature pictures learning for decoding motor imagery electroencephalography signal].,Xuejian Wu;Yaqi Chu;Xingang Zhao;Yiwen Zhao,PubMed
A combination of deep learning models and type-2 fuzzy for EEG motor imagery classification through spatiotemporal-frequency features.,Ensong Jiang;Tangsen Huang;Xiangdong Yin,PubMed
Performance Improvement with Reduced Number of Channels in Motor Imagery BCI System.,Ali Özkahraman;Tamer Ölmez;Zümray Dokur,PubMed
Enhancing Deep-Learning Classification for Remote Motor Imagery Rehabilitation Using Multi-Subject Transfer Learning in IoT Environment.,Joharah Khabti;Saad AlAhmadi;Adel Soudani,PubMed
Unlocking Security for Comprehensive Electroencephalogram-Based User Authentication Systems.,Adnan Elahi Khan Khalil;Jesus Arturo Perez-Diaz;Jose Antonio Cantoral-Ceballos;Javier M Antelis,PubMed
The Effect of Processing Techniques on the Classification Accuracy of Brain-Computer Interface Systems.,András Adolf;Csaba Márton Köllőd;Gergely Márton;Ward Fadel;István Ulbert,PubMed
hvEEGNet: a novel deep learning model for high-fidelity EEG reconstruction.,Giulia Cisotto;Alberto Zancanaro;Italo F Zoppis;Sara L Manzoni,PubMed
EEG channel and feature investigation in binary and multiple motor imagery task predictions.,Murside Degirmenci;Yilmaz Kemal Yuce;Matjaž Perc;Yalcin Isler,PubMed
Adaptive deep feature representation learning for cross-subject EEG decoding.,Shuang Liang;Linzhe Li;Wei Zu;Wei Feng;Wenlong Hang,PubMed
Motion Cognitive Decoding of Cross-Subject Motor Imagery Guided on Different Visual Stimulus Materials.,Tian-Jian Luo;Jing Li;Rui Li;Xiang Zhang;Shen-Rui Wu;Hua Peng,PubMed
3D convolutional neural network based on spatial-spectral feature pictures learning for decoding motor imagery EEG signal.,Xiaoguang Li;Yaqi Chu;Xuejian Wu,PubMed
An attention-based motor imagery brain-computer interface system for lower limb exoskeletons.,Xinzhi Ma;Weihai Chen;Zhongcai Pei;Jing Zhang,PubMed
A novel dual-step transfer framework based on domain selection and feature alignment for motor imagery decoding.,Guanglian Bai;Jing Jin;Ren Xu;Xingyu Wang;Andrzej Cichocki,PubMed
A bimodal deep learning network based on CNN for fine motor imagery.,Chenyao Wu;Yu Wang;Shuang Qiu;Huiguang He,PubMed
STGAT-CS: spatio-temporal-graph attention network based channel selection for MI-based BCI.,Ming Meng;Bin Xu;Yuliang Ma;Yunyuan Gao;Zhizeng Luo,PubMed
MSHANet: a multi-scale residual network with hybrid attention for motor imagery EEG decoding.,Mengfan Li;Jundi Li;Xiao Zheng;Jiahao Ge;Guizhi Xu,PubMed
Coherence-based channel selection and Riemannian geometry features for magnetoencephalography decoding.,Chao Tang;Tianyi Gao;Gang Wang;Badong Chen,PubMed
Time-frequency-space transformer EEG decoding for spinal cord injury.,Fangzhou Xu;Ming Liu;Xinyi Chen;Yihao Yan;Jinzhao Zhao;Yanbing Liu;Jiaqi Zhao;Shaopeng Pang;Sen Yin;Jiancai Leng;Yang Zhang,PubMed
A motor imagery classification model based on hybrid brain-computer interface and multitask learning of electroencephalographic and electromyographic deep features.,Yingyu Cao;Shaowei Gao;Huixian Yu;Zhenxi Zhao;Dawei Zang;Chun Wang,PubMed
EEG-based action anticipation in human-robot interaction: a comparative pilot study.,Rodrigo Vieira;Plinio Moreno;Athanasios Vourvopoulos,PubMed
An Empirical Model-Based Algorithm for Removing Motion-Caused Artifacts in Motor Imagery EEG Data for Classification Using an Optimized CNN Model.,Rajesh Kannan Megalingam;Kariparambil Sudheesh Sankardas;Sakthiprasad Kuttankulangara Manoharan,PubMed
MACNet: A Multidimensional Attention-Based Convolutional Neural Network for Lower-Limb Motor Imagery Classification.,Ling-Long Li;Guang-Zhong Cao;Yue-Peng Zhang;Wan-Chen Li;Fang Cui,PubMed
Enhancing motor imagery EEG signal decoding through machine learning: A systematic review of recent progress.,Ibtehaaj Hameed;Danish M Khan;Syed Muneeb Ahmed;Syed Sabeeh Aftab;Hammad Fazal,PubMed
A novel method of cognitive overload assessment based on a fusion feature selection using EEG signals.,Zhongrui Li;Li Tong;Ying Zeng;Yuanlong Gao;Diankun Gong;Kai Yang;Yidong Hu;Bin Yan,PubMed
An adaptive session-incremental broad learning system for continuous motor imagery EEG classification.,Yufei Yang;Mingai Li;Linlin Wang,PubMed
Classification of motor imagery EEG with ensemble RNCA model.,T Thenmozhi;R Helen;S Mythili,PubMed
"FDCN-C: A deep learning model based on frequency enhancement, deformable convolution network, and crop module for electroencephalography motor imagery classification.",Hong-Jie Liang;Ling-Long Li;Guang-Zhong Cao,PubMed
Boosted Harris Hawks Shuffled Shepherd Optimization Augmented Deep Learning based motor imagery classification for brain computer interface.,Fatmah Yousef Assiri;Mahmoud Ragab,PubMed
A continuous pursuit dataset for online deep learning-based EEG brain-computer interface.,Dylan Forenzo;Hao Zhu;Bin He,PubMed
Enhancing Motor Imagery Classification with Residual Graph Convolutional Networks and Multi-Feature Fusion.,Fangzhou Xu;Weiyou Shi;Chengyan Lv;Yuan Sun;Shuai Guo;Chao Feng;Yang Zhang;Tzyy-Ping Jung;Jiancai Leng,PubMed
An effective classification approach for EEG-based motor imagery tasks combined with attention mechanisms.,Jixiang Li;Wuxiang Shi;Yurong Li,PubMed
Functional connectivity of EEG motor rhythms after spinal cord injury.,Jiancai Leng;Xin Yu;Chongfeng Wang;Jinzhao Zhao;Jianqun Zhu;Xinyi Chen;Zhaoxin Zhu;Xiuquan Jiang;Jiaqi Zhao;Chao Feng;Qingbo Yang;Jianfei Li;Lin Jiang;Fangzhou Xu;Yang Zhang,PubMed
Classification algorithm for motor imagery fusing CNN and attentional mechanisms based on functional near-infrared spectroscopy brain image.,Xingbin Shi;Baojiang Li;Wenlong Wang;Yuxin Qin;Haiyan Wang;Xichao Wang,PubMed
A protocol for trustworthy EEG decoding with neural networks.,Davide Borra;Elisa Magosso;Mirco Ravanelli,PubMed
Partial prior transfer learning based on self-attention CNN for EEG decoding in stroke patients.,Jun Ma;Wanlu Ma;Jingjing Zhang;Yongcong Li;Banghua Yang;Chunlei Shan,PubMed
Tensor decomposition-based channel selection for motor imagery-based brain-computer interfaces.,Ziwei Huang;Qingguo Wei,PubMed
A class alignment network based on self-attention for cross-subject EEG classification.,Sufan Ma;Dongxiao Zhang;Jiayi Wang;Jialiang Xie,PubMed
Temporal attention fusion network with custom loss function for EEG-fNIRS classification.,Chayut Bunterngchit;Jiaxing Wang;Jianqiang Su;Yihan Wang;Shiqi Liu;Zeng-Guang Hou,PubMed
Motor task-to-task transfer learning for motor imagery brain-computer interfaces.,Daeun Gwon;Minkyu Ahn,PubMed
Influence of Temporal and Frequency Selective Patterns Combined with CSP Layers on Performance in Exoskeleton-Assisted Motor Imagery Tasks.,Cristian David Guerrero-Mendez;Cristian Felipe Blanco-Diaz;Hamilton Rivera-Flor;Pedro Henrique Fabriz-Ulhoa;Eduardo Antonio Fragoso-Dias;Rafhael Milanezi de Andrade;Denis Delisle-Rodriguez;Teodiano Freire Bastos-Filho,PubMed
Compact convolutional transformer for subject-independent motor imagery EEG-based BCIs.,Aigerim Keutayeva;Nail Fakhrutdinov;Berdakh Abibullaev,PubMed
A 4-DOF Exosuit Using a Hybrid EEG-Based Control Approach for Upper-Limb Rehabilitation.,Zhichuan Tang;Zhixuan Cui;Hang Wang;Pengcheng Liu;Xuan Xu;Keshuai Yang,PubMed
Thought-Controlled Computer Applications: A Brain-Computer Interface System for Severe Disability Support.,Kais Belwafi;Fakhreddine Ghaffari,PubMed
A multiple session dataset of NIRS recordings from stroke patients controlling brain-computer interface.,Mikhail R Isaev;Olesya A Mokienko;Roman Kh Lyukmanov;Ekaterina S Ikonnikova;Anastasiia N Cherkasova;Natalia A Suponeva;Michael A Piradov;Pavel D Bobrov,PubMed
Enhancing ERD Activation and Functional Connectivity via the Sixth-Finger Motor Imagery in Stroke Patients.,Zhuang Wang;Yuan Liu;Shuaifei Huang;Huimin Huang;Wenlai Wu;Yuyang Wang;Xingwei An;Dong Ming,PubMed
Integrating Electroencephalography Source Localization and Residual Convolutional Neural Network for Advanced Stroke Rehabilitation.,Sina Makhdoomi Kaviri;Ramana Vinjamuri,PubMed
Attention Induced Dual Convolutional-Capsule Network (AIDC-CN): A deep learning framework for motor imagery classification.,Ritesh Sur Chowdhury;Shirsha Bose;Sayantani Ghosh;Amit Konar,PubMed
A brief survey on human activity recognition using motor imagery of EEG signals.,Seema Pankaj Mahalungkar;Rahul Shrivastava;Sanjeevkumar Angadi,PubMed
Transforming Motor Imagery Analysis: A Novel EEG Classification Framework Using AtSiftNet Method.,Haiqin Xu;Waseem Haider;Muhammad Zulkifal Aziz;Youchao Sun;Xiaojun Yu,PubMed
An SCA-based classifier for motor imagery EEG classification.,Zhihui Li;Ming Meng,PubMed
Joint hybrid recursive feature elimination based channel selection and ResGCN for cross session MI recognition.,Duan Li;Keyun Li;Yongquan Xia;Jianhua Dong;Ronglei Lu,PubMed
E-SAT: An extreme learning machine based self attention approach for decoding motor imagery EEG in subject-speciﬁc tasks.,Muhammad Ahmed Ahmed Abbasi;Hafza Faiza Abbasi;Xiaojun Yu;Muhammad Zulkifal Aziz;Nicole Tye June Yih Yih;Zeming Fan,PubMed
Optimizing Real-Time MI-BCI Performance in Post-Stroke Patients: Impact of Time Window Duration on Classification Accuracy and Responsiveness.,Aleksandar Miladinović;Agostino Accardo;Joanna Jarmolowska;Uros Marusic;Miloš Ajčević,PubMed
Enhancing EEG-Based MI-BCIs with Class-Specific and Subject-Specific Features Detected by Neural Manifold Analysis.,Mirco Frosolone;Roberto Prevete;Lorenzo Ognibeni;Salvatore Giugliano;Andrea Apicella;Giovanni Pezzulo;Francesco Donnarumma,PubMed
Efficient Multi-View Graph Convolutional Network with Self-Attention for Multi-Class Motor Imagery Decoding.,Xiyue Tan;Dan Wang;Meng Xu;Jiaming Chen;Shuhan Wu,PubMed
Phase-Amplitude Coupling in Theta and Beta Bands: A Potential Electrophysiological Marker for Obstructive Sleep Apnea.,Chan Zhang;Yanhui Wang;Mengjie Li;Pengpeng Niu;Shuo Li;Zhuopeng Hu;Changhe Shi;Yusheng Li,PubMed
EEG-based sensorimotor neurofeedback for motor neurorehabilitation in children and adults: A scoping review.,Elena Cioffi;Anna Hutber;Rob Molloy;Sarah Murden;Aaron Yurkewich;Adam Kirton;Jean-Pierre Lin;Hortensia Gimeno;Verity M McClelland,PubMed
Improving inter-session performance via relevant session-transfer for multi-session motor imagery classification.,Dong-Jin Sung;Keun-Tae Kim;Ji-Hyeok Jeong;Laehyun Kim;Song Joo Lee;Hyungmin Kim;Seung-Jong Kim,PubMed
Joint multi-feature extraction and transfer learning in motor imagery brain computer interface.,Miao Cai;Jie Hong,PubMed
Neural signatures of motor imagery for a supernumerary thumb in VR: an EEG analysis.,Haneen Alsuradi;Joseph Hong;Alireza Sarmadi;Robert Volcic;Hanan Salam;S Farokh Atashzar;Farshad Khorrami;Mohamad Eid,PubMed
Cortical ROI Importance Improves MI Decoding From EEG Using Fused Light Neural Network.,Linlin Wang;Mingai Li;Dongqin Xu;Yufei Yang,PubMed
A Comprehensive Review of Hardware Acceleration Techniques and Convolutional Neural Networks for EEG Signals.,Yu Xie;Stefan Oniga,PubMed
A zero precision loss framework for EEG channel selection: enhancing efficiency and maintaining interpretability.,Lu Wang;Junkongshuai Wang;Haolong Su;Xueze Zhang;Lihua Zhang;Xiaoyang Kang,PubMed
Acquisition and processing of Motor Imagery and Motor Execution Dataset (MIMED) for six movement activities.,I Made Agus Wirawan;Dechrit Maneetham;I Gede Mahendra Darmawiguna;Arnon Niyomphol;Pakornkiat Sawetmethikul;Padma Nyoman Crisnapati;Yamin Thwe;Ni Nyoman Mestri Agustini,PubMed
Federated Motor Imagery Classification for Privacy-Preserving Brain-Computer Interfaces.,Tianwang Jia;Lubin Meng;Siyang Li;Jiajing Liu;Dongrui Wu,PubMed
Improved motor imagery training for subject's self-modulation in EEG-based brain-computer interface.,Yilu Xu;Lilin Jie;Wenjuan Jian;Wenlong Yi;Hua Yin;Yingqiong Peng,PubMed
I see artifacts: ICA-based EEG artifact removal does not improve deep network decoding across three BCI tasks.,Taeho Kang;Yiyu Chen;Christian Wallraven,PubMed
Automatic Feature Selection for Sensorimotor Rhythms Brain-Computer Interface Fusing Expert and Data-Driven Knowledge.,Mushfika Sultana;Serafeim Perdikis,PubMed
Simultaneous EEG-fNIRS Data Classification Through Selective Channel Representation and Spectrogram Imaging.,Chayut Bunterngchit;Jiaxing Wang;Zeng-Guang Hou,PubMed
Improving classification performance of motor imagery BCI through EEG data augmentation with conditional generative adversarial networks.,Sanghyun Choo;Hoonseok Park;Jae-Yoon Jung;Kevin Flores;Chang S Nam,PubMed
Decoding Multi-Class Motor Imagery From Unilateral Limbs Using EEG Signals.,Fenqi Rong;Banghua Yang;Cuntai Guan,PubMed
EEG Characteristic Comparison of Motor Imagery Between Supernumerary and Inherent Limb: Sixth-Finger MI Enhances the ERD Pattern and Classification Performance.,Zhuang Wang;Yuan Liu;Shuaifei Huang;Shiyin Qiu;Yujian Zhang;Huimin Huang;Xingwei An;Dong Ming,PubMed
CTNet: a convolutional transformer network for EEG-based motor imagery classification.,Wei Zhao;Xiaolu Jiang;Baocan Zhang;Shixiao Xiao;Sujun Weng,PubMed
Motor Imagery Recognition Based on GMM-JCSFE Model.,Chuncheng Liao;Shiyu Zhao;Jiacai Zhang,PubMed
EEG-Based Feature Classification Combining 3D-Convolutional Neural Networks with Generative Adversarial Networks for Motor Imagery.,Chengcheng Fan;Banghua Yang;Xiaoou Li;Shouwei Gao;Peng Zan,PubMed
Independent Vector Analysis for Feature Extraction in Motor Imagery Classification.,Caroline Pires Alavez Moraes;Lucas Heck Dos Santos;Denis Gustavo Fantinato;Aline Neves;Tülay Adali,PubMed
A Method for the Spatial Interpolation of EEG Signals Based on the Bidirectional Long Short-Term Memory Network.,Wenlong Hu;Bowen Ji;Kunpeng Gao,PubMed
A Strong and Simple Deep Learning Baseline for BCI Motor Imagery Decoding.,Yassine El Ouahidi;Vincent Gripon;Bastien Pasdeloup;Ghaith Bouallegue;Nicolas Farrugia;Giulia Lioi,PubMed
EEG Motor Imagery Classification: Tangent Space with Gate-Generated Weight Classifier.,Sara Omari;Adil Omari;Fares Abu-Dakka;Mohamed Abderrahim,PubMed
MSVTNet: Multi-Scale Vision Transformer Neural Network for EEG-Based Motor Imagery Decoding.,Ke Liu;Tao Yang;Zhuliang Yu;Weibo Yi;Hong Yu;Guoyin Wang;Wei Wu,PubMed
Developing a tablet-based brain-computer interface and robotic prototype for upper limb rehabilitation.,Kishor Lakshminarayanan;Vadivelan Ramu;Rakshit Shah;Md Samiul Haque Sunny;Deepa Madathil;Brahim Brahmi;Inga Wang;Raouf Fareh;Mohammad Habibur Rahman,PubMed
Exploring Feature Selection and Classification Techniques to Improve the Performance of an Electroencephalography-Based Motor Imagery Brain-Computer Interface System.,Md Humaun Kabir;Nadim Ibne Akhtar;Nishat Tasnim;Abu Saleh Musa Miah;Hyoun-Sup Lee;Si-Woong Jang;Jungpil Shin,PubMed
Design Decisions for Wearable EEG to Detect Motor Imagery Movements.,Ana Carretero;Alvaro Araujo,PubMed
Wasserstein generative adversarial network with gradient penalty and convolutional neural network based motor imagery EEG classification.,Hui Xiong;Jiahe Li;Jinzhen Liu;Jinlong Song;Yuqing Han,PubMed
Human-robot interaction in motor imagery: A system based on the STFCN for unilateral upper limb rehabilitation assistance.,Hui Tian,PubMed
Deep learning networks based decision fusion model of EEG and fNIRS for classification of cognitive tasks.,Md Hasin Raihan Rabbani;Sheikh Md Rabiul Islam,PubMed
A delayed matching task-based study on action sequence of motor imagery.,Mengfan Li;Enming Qi;Guizhi Xu;Jing Jin;Qi Zhao;Miaomiao Guo;Wenzhe Liao,PubMed
EEG-VTTCNet: A loss joint training model based on the vision transformer and the temporal convolution network for EEG-based motor imagery classification.,Xingbin Shi;Baojiang Li;Wenlong Wang;Yuxin Qin;Haiyan Wang;Xichao Wang,PubMed
Multiband Convolutional Riemannian Network With Band-Wise Riemannian Triplet Loss for Motor Imagery Classification.,Jinhyo Shin;Wonzoo Chung,PubMed
Benchmarking brain-computer interface algorithms: Riemannian approaches vs convolutional neural networks.,Manuel Eder;Jiachen Xu;Moritz Grosse-Wentrup,PubMed
Design of a brain-machine interface for reducing false activations of a lower-limb exoskeleton based on error related potential.,P Soriano-Segura;M Ortiz;E Iáñez;J M Azorín,PubMed
Harnessing Few-Shot Learning for EEG signal classification: a survey of state-of-the-art techniques and future directions.,Chirag Ahuja;Divyashikha Sethia,PubMed
Deep Neural Network-Based Empirical Mode Decomposition for Motor Imagery EEG Classification.,Hyunsoo Yu;Suwhan Baek;Jiwoon Lee;Illsoo Sohn;Bosun Hwang;Cheolsoo Park,PubMed
Toward calibration-free motor imagery brain-computer interfaces: a VGG-based convolutional neural network and WGAN approach.,A G Habashi;Ahmed M Azab;Seif Eldawlatly;Gamal M Aly,PubMed
An Adaptive Hybrid Brain-Computer Interface for Hand Function Rehabilitation of Stroke Patients.,Jianqiang Su;Jiaxing Wang;Weiqun Wang;Yihan Wang;Chayut Bunterngchit;Pu Zhang;Zeng-Guang Hou,PubMed
Unsupervised and semi-supervised domain adaptation networks considering both global knowledge and prototype-based local class information for Motor Imagery Classification.,Dongxue Zhang;Huiying Li;Jingmeng Xie,PubMed
Suppression of negative transfer in motor imagery brain-computer interface based on mutual information and Pearson correlation coefficient.,Fenfang Zhu;Jicheng Cai;Hao Zheng;Zilin Liang;Yue Zhang,PubMed
A high-performance general computer cursor control scheme based on a hybrid BCI combining motor imagery and eye-tracking.,Jiakai Zhang;Yuqi Zhang;Xinlong Zhang;Boyang Xu;Huanqing Zhao;Tinghui Sun;Ju Wang;Shaojie Lu;Xiaoyan Shen,PubMed
EEG-based motor imagery channel selection and classification using hybrid optimization and two-tier deep learning.,Annu Kumari;Damodar Reddy Edla;R Ravinder Reddy;Srikanth Jannu;Ankit Vidyarthi;Ahmed Alkhayyat;Mirtha Silvana Garat de Marin,PubMed
Characterization and classification of kinesthetic motor imagery levels.,D Martinez-Peon;N V Garcia-Hernandez;F G Benavides-Bravo;V Parra-Vega,PubMed
Encoding temporal information in deep convolution neural network.,Avinash Kumar Singh;Luigi Bianchi,PubMed
SignEEG v1.0: Multimodal Dataset with Electroencephalography and Hand-written Signature for Biometric Systems.,Ashish Ranjan Mishra;Rakesh Kumar;Vibha Gupta;Sameer Prabhu;Richa Upadhyay;Prakash Chandra Chhipa;Sumit Rakesh;Hamam Mokayed;Debashis Das Chakladar;Kanjar De;Marcus Liwicki;Foteini Simistira Liwicki;Rajkumar Saini,PubMed
A novel temporal-frequency combination pattern optimization approach based on information fusion for motor imagery BCIs.,Chenyang Lü;Ting Wang;Xugang Xi;Maofeng Wang;Jian Wang;Anton Zhilenko;Lihua Li,PubMed
STaRNet: A spatio-temporal and Riemannian network for high-performance motor imagery decoding.,Xingfu Wang;Wenjie Yang;Wenxia Qi;Yu Wang;Xiaojun Ma;Wei Wang,PubMed
Leveraging temporal dependency for cross-subject-MI BCIs by contrastive learning and self-attention.,Hao Sun;Yi Ding;Jianzhu Bao;Ke Qin;Chengxuan Tong;Jing Jin;Cuntai Guan,PubMed
Motor Imagery EEG Signal Classification Using Distinctive Feature Fusion with Adaptive Structural LASSO.,Weihai Huang;Xinyue Liu;Weize Yang;Yihua Li;Qiyan Sun;Xiangzeng Kong,PubMed
Band power feature part-based convolutional neural network with African vulture optimization fostered channel selection for EEG classification.,Vairaprakash Selvaraj;Manjunathan Alagarsamy;Kavitha Datchanamoorthy;Geethalakshmi Manickam,PubMed
Neurophysiologically Meaningful Motor Imagery EEG Simulation With Applications to Data Augmentation.,Catalina M Galvan;Ruben D Spies;Diego H Milone;Victoria Peterson,PubMed
An end-to-end multi-task motor imagery EEG classification neural network based on dynamic fusion of spectral-temporal features.,Shidong Lian;Zheng Li,PubMed
A cross-dataset adaptive domain selection transfer learning framework for motor imagery-based brain-computer interfaces.,Jing Jin;Guanglian Bai;Ren Xu;Ke Qin;Hao Sun;Xingyu Wang;Andrzej Cichocki,PubMed
Seizure onset zone (SOZ) identification using effective brain connectivity of epileptogenic networks.,Sai Sanjay Balaji;Keshab K Parhi,PubMed
An optimized EEGNet decoder for decoding motor image of four class fingers flexion.,Yongkang Rao;Le Zhang;Ruijun Jing;Jiabing Huo;Kunxian Yan;Jian He;Xiaojuan Hou;Jiliang Mu;Wenping Geng;Haoran Cui;Zeyu Hao;Xiang Zan;Jiuhong Ma;Xiujian Chou,PubMed
Riemannian transfer learning based on log-Euclidean metric for EEG classification.,Fanbo Zhuo;Xiaocheng Zhang;Fengzhen Tang;Yaobo Yu;Lianqing Liu,PubMed
Exploring the frontier: Transformer-based models in EEG signal analysis for brain-computer interfaces.,Maximilian Achim Pfeffer;Steve Sai Ho Ling;Johnny Kwok Wai Wong,PubMed
Time-Frequency-Space EEG Decoding Model Based on Dense Graph Convolutional Network for Stroke.,Jiancai Leng;Han Li;Weiyou Shi;Licai Gao;Chengyan Lv;Chen Wang;Fangzhou Xu;Yang Zhang;Tzyy-Ping Jung,PubMed
An EEG channel selection method for motor imagery based on Fisher score and local optimization.,Yangjie Luo;Wei Mu;Lu Wang;Junkongshuai Wang;Pengchao Wang;Zhongxue Gan;Lihua Zhang;Xiaoyang Kang,PubMed
Large-Scale Cortical Network Analysis and Classification of MI-BCI Tasks Based on Bayesian Nonnegative Matrix Factorization.,Shiqi Yu;Bin Mao;Yuanhang Zhou;Yunhong Liu;Chanlin Yi;Fali Li;Dezhong Yao;Peng Xu;X San Liang;Tao Zhang,PubMed
A diagonal masking self-attention-based multi-scale network for motor imagery classification.,Kaijun Yang;Jihong Wang;Liantao Yang;Lifeng Bian;Zijiang Luo;Chen Yang,PubMed
Identifying optimal channels and features for multi-participant motor imagery experiments across a participant's multi-day multi-class EEG data.,Esra Kaya;Ismail Saritas,PubMed
Classification of Motor Imagery Tasks Derived from Unilateral Upper Limb based on a Weight-optimized Learning Model.,Qing Cai;Chuan Liu;Anqi Chen,PubMed
A novel feature extraction method PSS-CSP for binary motor imagery - based brain-computer interfaces.,Ao Chen;Dayang Sun;Xin Gao;Dingguo Zhang,PubMed
Multi-scale self-attention approach for analysing motor imagery signals in brain-computer interfaces.,Mohammed Wasim Bhatt;Sparsh Sharma,PubMed
Optimal Channel Selection of Multiclass Motor Imagery Classification Based on Fusion Convolutional Neural Network with Attention Blocks.,Joharah Khabti;Saad AlAhmadi;Adel Soudani,PubMed
Motor Imagery Classification Using Effective Channel Selection of Multichannel EEG.,Abdullah Al Shiam;Kazi Mahmudul Hassan;Md Rabiul Islam;Ahmed M M Almassri;Hiroaki Wagatsuma;Md Khademul Islam Molla,PubMed
Efficient Feature Learning Model of Motor Imagery EEG Signals with L1-Norm and Weighted Fusion.,Xiangzeng Kong;Cailin Wu;Shimiao Chen;Tao Wu;Junfeng Han,PubMed
Optimizing motor imagery BCI models with hard trials removal and model refinement.,Vishnupriya R;MachiReddy Ramasubba Reddy,PubMed
Multi-source deep domain adaptation ensemble framework for cross-dataset motor imagery EEG transfer learning.,Minmin Miao;Zhong Yang;Zhenzhen Sheng;Baoguo Xu;Wenbin Zhang;Xinmin Cheng,PubMed
Robust discrimination of multiple naturalistic same-hand movements from MEG signals with convolutional neural networks.,Ivan Zubarev;Mila Nurminen;Lauri Parkkonen,PubMed
Authentication with a one-dimensional CNN model using EEG-based brain-computer interface.,Ahmed Yassine Ferdi;Abdelkader Ghazli,PubMed
